'potato': ['NS', 'NO']
'hat': ['NO']
'pictures': ['NS']
'pictures': ['NS']
'pictures': ['NS']
'pictures': ['NS']
'pictures': ['NS']
'pictures': ['NS']
'pictures': ['NS']
'excel': ['NS']
'timetable': ['NS']
'powerpoint': ['NS', 'NO']
'hydro-electricity': ['NS', 'NO']
'powerpoint': ['NS', 'NO']
'hydroelecricity': ['NS', 'NO']
'excel': ['NS']
'uc': ['NS']
'timetable': ['NS']
'spreadsheet': ['NS', 'NO']
'uc': ['NS', 'NO']
'timetab;e': ['NS', 'NO']
'spreadsheet': ['NS', 'NO']
'uc': ['NS', 'NO']
'timetable': ['NS', 'NO']
'spreadsheet': ['NS', 'NO']
'timetable': ['NS', 'NO']
'pictures': ['NS']
'pictures': ['NS']
'pictures': ['NS']
'pictures': ['NS', 'NO']
'uc': ['NS', 'NO']
'timetable': ['NS', 'NO']
'uc': ['NS', 'NO']
'timetable': ['NS', 'NO']
'xlsx': ['NS', 'NO']
'timetable.xlsx': ['NS', 'NO']
'university': ['NS', 'NO']
'timetable': ['NS', 'NO']
'sqrt(72': ['NO']
'solve': ['NS', 'NO', 'VB']
'4x': ['NS', 'NO', 'VB']
'': ['NS', 'NO', 'VB']
'9': ['NS', 'NO', 'VB']
'': ['NS', 'NO', 'VB']
'72': ['NS', 'NO', 'VB']
'4*x': ['NO']
'': ['NO']
'7': ['NO']
'': ['NO']
'49': ['NO']
'sqrt': ['NO']
'8': ['NO']
'7*(3/2': ['NO']
'pictures': ['NS']
'tangled': ['NS', 'NO']
'tall': ['NO']
'eiffel': ['NO']
'tower': ['NO']
'tall': ['NO']
'eiffel': ['NO']
'tower': ['NO']
'movie': ['NS', 'NO']
'tingle': ['NS', 'NO']
'hello': ['NS', 'NO', 'VB']
'hello': ['NS', 'NO', 'VB']
'hello': ['NS', 'NO', 'VB']
'gimme': ['NO', 'VB']
'sdkjagh': ['NS', 'NO', 'VB']
'tangled': []
'pictures': []
'tallest': ['NO']
'building': ['NO']
'time': ['NO']
'': ['NS', 'NO', 'VB']
'tangled': []
'tangled': ['NO']
'tangled': []
'': ['NS', 'NO', 'VB']
